Andromeda: garden, gardner
Bellflower: garden, gardner
China Pink: garden, gardner
Daffodil: garden, gardner
Evening Primrose: garden, gardner
French Marigold: garden, gardner
Golden Hakone Grass: garden, gardner
Hydrangea: garden, gardner
Iris: garden, gardner
Japanese Camellia: garden, gardner
Lavender: garden, gardner
Lilac: garden, gardner
Magnolia: garden, gardner
Peony: garden, gardner
Queen Anne's Lace: garden, gardner
Red Hot Poker: garden, gardner
Snapdragon: garden, gardner
Sunflower: garden, gardner
Tiger Lily: garden, gardner
Witch Hazel: garden, gardner
